Year,State,Urban_Rural,Road_Type,Weather,Vehicle_Type,Accident_Count,Fatalities,Injuries,Severity_Index
2012,Maharashtra,Urban,SH,Fog,Truck,13113,1926,7764,5.95
2017,Goa,Urban,Rural,Clear,Two-Wheeler,11473,1420,8773,8.08
2023,Goa,Rural,City,Fog,Two-Wheeler,16755,2362,6915,5.36
2017,Uttarakhand,Rural,NH,Fog,Two-Wheeler,10236,730,7243,6.59
2016,Jharkhand,Rural,City,Rainy,Two-Wheeler,3707,264,1521,6.0
2021,Uttar Pradesh,Rural,NH,Clear,Truck,23266,1767,11044,5.15
2020,Haryana,Rural,Rural,Rainy,Bus,14096,1691,11186,9.5
2021,Telangana,Urban,Rural,Rainy,Car,7034,1036,3611,8.27
2024,Himachal Pradesh,Urban,SH,Rainy,Truck,23792,1503,11102,5.01
2018,Kerala,Urban,SH,Rainy,Two-Wheeler,16311,1136,12560,6.42
2014,Kerala,Urban,City,Rainy,Truck,14436,1143,11508,5.56
2012,Uttar Pradesh,Urban,SH,Clear,Bus,3237,383,1518,5.42
2013,Andhra Pradesh,Rural,Rural,Rainy,Bus,21172,1405,8530,7.5
2013,Uttar Pradesh,Urban,NH,Clear,Car,23292,2957,9489,7.68
2024,Bihar,Rural,NH,Rainy,Bus,4345,312,2526,5.68
2021,Uttarakhand,Urban,SH,Fog,Two-Wheeler,22915,3319,13392,9.14
2021,Bihar,Urban,City,Clear,Bus,12914,1897,9131,8.98
2024,Kerala,Rural,Rural,Fog,Truck,2334,341,1423,5.15
2015,Goa,Rural,NH,Rainy,Two-Wheeler,4461,383,3179,5.27
2021,Madhya Pradesh,Urban,NH,Clear,Truck,10396,777,8272,8.69
2022,Haryana,Rural,Rural,Fog,Bus,14169,1103,9564,5.87
2021,Assam,Rural,Rural,Rainy,Bus,4594,252,2519,8.18
2022,Maharashtra,Urban,Rural,Rainy,Bus,15623,1659,9559,5.3
2022,Madhya Pradesh,Rural,City,Clear,Two-Wheeler,12058,1407,5350,5.88
2010,Assam,Rural,City,Clear,Two-Wheeler,875,87,697,8.08
2014,Andhra Pradesh,Urban,City,Rainy,Two-Wheeler,17158,913,7122,7.3
2024,Andhra Pradesh,Urban,SH,Rainy,Car,12227,1822,5654,7.0
2011,Arunachal Pradesh,Urban,City,Fog,Two-Wheeler,1778,110,1095,8.14
2017,Arunachal Pradesh,Rural,Rural,Fog,Car,16817,2060,13193,6.26
2011,Telangana,Urban,Rural,Clear,Two-Wheeler,14828,2185,9905,7.21
2024,Jharkhand,Urban,City,Clear,Car,2896,369,1966,6.74
2014,Odisha,Rural,NH,Fog,Bus,19311,2266,12615,5.76
2023,Telangana,Rural,Rural,Fog,Two-Wheeler,22950,2849,14003,8.29
2019,Gujarat,Urban,Rural,Rainy,Bus,11388,1007,7840,5.29
2021,West Bengal,Urban,NH,Fog,Two-Wheeler,9696,926,7169,6.12
2021,Gujarat,Urban,NH,Rainy,Bus,7379,921,5448,7.04
2023,Telangana,Rural,Rural,Rainy,Car,14955,1208,9857,8.24
2021,Jharkhand,Urban,Rural,Clear,Bus,1625,236,1128,5.2
2016,Kerala,Rural,SH,Rainy,Truck,23506,1772,9556,5.14
2016,Karnataka,Urban,SH,Rainy,Two-Wheeler,23300,1177,16337,5.05
2019,Tamil Nadu,Urban,NH,Clear,Two-Wheeler,17404,1342,12602,8.08
2016,Punjab,Rural,City,Rainy,Two-Wheeler,14378,1002,6176,5.43
2013,Odisha,Rural,City,Fog,Two-Wheeler,6015,397,4536,9.05
2010,Maharashtra,Urban,City,Rainy,Car,24620,3289,17647,9.27
2010,West Bengal,Rural,NH,Rainy,Car,3660,535,2648,9.4
2018,Odisha,Rural,NH,Rainy,Truck,15449,957,10889,6.4
2012,Jharkhand,Rural,City,Clear,Bus,3053,320,1354,6.52
2017,Haryana,Urban,NH,Rainy,Bus,12675,1485,6240,5.01
2011,Gujarat,Rural,SH,Rainy,Bus,4044,337,2004,5.4
2018,Arunachal Pradesh,Rural,City,Clear,Two-Wheeler,731,45,397,6.98
2011,Chhattisgarh,Rural,Rural,Rainy,Truck,10224,912,4468,5.8
2013,Bihar,Urban,City,Clear,Truck,11047,1088,7448,6.88
2020,Rajasthan,Urban,SH,Fog,Car,18602,1128,7962,6.59
2011,Punjab,Rural,Rural,Clear,Two-Wheeler,18803,1104,14150,5.8
2016,Telangana,Rural,City,Rainy,Truck,3563,395,1810,7.55
2022,Jharkhand,Urban,City,Fog,Bus,12745,678,5839,5.83
2022,Arunachal Pradesh,Urban,NH,Rainy,Bus,19013,2661,10128,8.79
2014,Punjab,Rural,Rural,Fog,Car,13257,1376,6185,5.09
2015,Madhya Pradesh,Rural,City,Clear,Bus,7658,730,4541,8.07
2016,Goa,Urban,City,Fog,Two-Wheeler,22944,3115,10157,8.69
2012,Maharashtra,Rural,NH,Fog,Truck,19879,2188,8037,9.22
2011,Chhattisgarh,Rural,NH,Rainy,Two-Wheeler,20802,1781,9108,7.15
2017,Kerala,Urban,NH,Rainy,Car,16142,1279,8267,8.52
2011,Uttar Pradesh,Urban,City,Rainy,Two-Wheeler,23700,2661,17587,9.47
2019,Madhya Pradesh,Urban,SH,Fog,Truck,22303,1196,16293,7.51
2011,Bihar,Rural,NH,Rainy,Bus,19374,2535,13055,8.03
2021,West Bengal,Urban,Rural,Fog,Bus,1818,146,974,7.6
2010,Maharashtra,Rural,SH,Rainy,Two-Wheeler,15108,1388,11470,5.35
2013,Gujarat,Rural,SH,Fog,Bus,14528,1390,7448,5.3
2014,Kerala,Rural,SH,Fog,Two-Wheeler,24378,1422,19105,8.11
2011,Rajasthan,Urban,NH,Clear,Bus,17403,1051,9605,7.7
2020,Punjab,Urban,NH,Clear,Two-Wheeler,23554,1529,11996,9.11
2016,Uttar Pradesh,Rural,SH,Rainy,Two-Wheeler,12194,1169,5004,5.2
2020,Andhra Pradesh,Urban,City,Rainy,Truck,1729,100,932,8.29
2015,Kerala,Rural,SH,Rainy,Two-Wheeler,10569,902,7782,6.57
2021,Gujarat,Urban,NH,Fog,Two-Wheeler,14150,1623,7004,5.7
2011,Kerala,Urban,NH,Rainy,Truck,934,133,521,7.16
2021,Uttarakhand,Rural,City,Clear,Truck,1655,118,743,6.29
2018,Assam,Urban,NH,Rainy,Bus,14252,1914,10547,8.09
2017,Delhi,Urban,Rural,Rainy,Bus,13259,695,6514,7.96
2015,Chhattisgarh,Urban,Rural,Fog,Bus,23302,3230,15072,6.14
2021,Himachal Pradesh,Urban,SH,Clear,Truck,9442,759,4504,9.02
2020,Punjab,Urban,SH,Fog,Truck,7172,442,2919,8.41
2010,Delhi,Rural,NH,Rainy,Car,6752,818,3455,8.76
2013,Arunachal Pradesh,Urban,SH,Rainy,Car,2861,170,1977,5.62
2023,Goa,Rural,NH,Rainy,Car,16879,1965,7007,7.54
2022,Assam,Urban,Rural,Clear,Car,15220,1084,11167,5.97
2019,Kerala,Rural,SH,Rainy,Car,6953,525,4321,9.44
2016,Haryana,Urban,Rural,Rainy,Bus,1210,75,501,8.11
2020,Goa,Urban,Rural,Fog,Truck,7134,1044,4742,6.24
2019,West Bengal,Urban,SH,Rainy,Bus,15674,1950,8691,8.22
2013,Gujarat,Urban,Rural,Fog,Bus,1510,192,1121,6.98
2024,Odisha,Rural,City,Rainy,Car,1109,123,446,6.23
2014,Assam,Urban,City,Rainy,Bus,22095,2062,13047,7.96
2010,Madhya Pradesh,Rural,City,Fog,Truck,8021,568,4288,5.62
2024,Karnataka,Urban,SH,Clear,Two-Wheeler,14323,1174,7282,5.08
2022,Rajasthan,Rural,Rural,Fog,Truck,3064,231,1510,7.25
2016,Jharkhand,Urban,Rural,Clear,Car,10056,618,5797,9.33
2018,Gujarat,Rural,NH,Rainy,Two-Wheeler,2301,225,1158,7.73
2017,Kerala,Rural,Rural,Clear,Truck,11108,1391,8863,6.34
2013,Uttarakhand,Urban,NH,Fog,Car,21775,1919,10995,8.09
2016,Assam,Rural,Rural,Rainy,Two-Wheeler,3475,336,2362,6.03
2018,Karnataka,Rural,City,Fog,Bus,22999,3252,13690,7.99
2023,Arunachal Pradesh,Urban,Rural,Fog,Bus,8482,930,5880,6.67
2013,Goa,Rural,Rural,Clear,Truck,21868,1928,15641,6.9
2010,Himachal Pradesh,Urban,City,Fog,Two-Wheeler,17219,2444,10863,6.54
2017,Assam,Urban,Rural,Rainy,Bus,2329,221,970,8.59
2016,Maharashtra,Rural,Rural,Fog,Car,10963,1504,7647,5.05
2020,Uttar Pradesh,Urban,SH,Rainy,Car,1705,224,779,7.28
2022,Telangana,Urban,NH,Fog,Two-Wheeler,9208,958,7164,9.06
2020,Haryana,Rural,City,Rainy,Two-Wheeler,6859,672,5137,7.5
2016,Uttar Pradesh,Rural,SH,Fog,Bus,19864,1336,15475,8.5
2017,Andhra Pradesh,Rural,SH,Fog,Two-Wheeler,23536,1480,15293,6.41
2022,Kerala,Rural,SH,Rainy,Two-Wheeler,22640,3260,17252,8.05
2019,Tamil Nadu,Rural,NH,Rainy,Bus,7850,744,5988,7.95
2013,Chhattisgarh,Rural,Rural,Fog,Truck,18975,1833,8122,8.12
2023,Andhra Pradesh,Urban,SH,Rainy,Bus,3007,192,1833,6.1
2015,Assam,Urban,Rural,Fog,Car,16762,2060,10666,7.42
2022,Delhi,Rural,Rural,Rainy,Bus,19890,2649,8803,5.01
2013,Karnataka,Urban,SH,Rainy,Bus,6787,599,4898,9.27
2022,Rajasthan,Urban,Rural,Rainy,Bus,923,103,582,5.79
2020,Chhattisgarh,Urban,NH,Fog,Car,20285,2708,10743,8.89
2023,Madhya Pradesh,Urban,SH,Fog,Two-Wheeler,4284,626,3066,8.41
2012,Maharashtra,Rural,NH,Rainy,Truck,15997,2278,11511,8.56
2011,Rajasthan,Rural,City,Fog,Bus,7121,553,5191,8.33
2019,Delhi,Rural,City,Rainy,Car,8125,793,3930,7.97
2021,Haryana,Rural,Rural,Rainy,Truck,16775,2426,11095,6.56
2010,Jharkhand,Urban,Rural,Clear,Bus,3180,463,1967,6.92
2018,Bihar,Urban,SH,Fog,Two-Wheeler,13396,963,10504,5.97
2022,Madhya Pradesh,Rural,NH,Rainy,Car,2477,265,1964,6.48
2013,Haryana,Rural,Rural,Clear,Truck,6025,539,3298,5.16
2016,Karnataka,Urban,SH,Fog,Two-Wheeler,24151,1409,12738,7.97
2012,Punjab,Urban,City,Rainy,Car,785,74,605,6.3
2017,Himachal Pradesh,Urban,SH,Clear,Truck,5862,429,4466,5.77
2013,Kerala,Rural,SH,Rainy,Bus,10032,766,4851,5.43
2015,Delhi,Urban,SH,Fog,Truck,4930,496,3132,5.98
2017,Gujarat,Rural,SH,Fog,Car,12271,642,7648,5.33
2024,Bihar,Urban,Rural,Rainy,Bus,11695,1733,7210,5.88
2021,Delhi,Urban,NH,Clear,Truck,19092,1472,14118,7.64
2016,Punjab,Rural,Rural,Fog,Truck,6943,450,5463,8.87
2021,Punjab,Urban,SH,Clear,Two-Wheeler,6684,994,3309,6.05
2016,Odisha,Urban,NH,Fog,Bus,11012,1077,4525,6.17
2010,Chhattisgarh,Urban,NH,Rainy,Bus,17780,2105,9104,5.4
2013,Jharkhand,Rural,NH,Rainy,Truck,14941,1017,7471,8.23
2010,Chhattisgarh,Rural,Rural,Clear,Car,14789,2096,8158,6.55
2018,Tamil Nadu,Rural,Rural,Clear,Car,12623,1671,6422,5.93
2022,Bihar,Urban,City,Fog,Bus,18348,1536,8869,7.68
2013,Punjab,Rural,City,Fog,Truck,6271,423,2697,7.74
2024,Punjab,Urban,City,Fog,Bus,20508,1640,12318,8.0
2022,Tamil Nadu,Urban,Rural,Clear,Truck,23767,1578,11923,5.67
2017,Madhya Pradesh,Urban,SH,Clear,Bus,8080,589,5243,8.56
2024,Kerala,Urban,NH,Fog,Two-Wheeler,20779,2299,15081,9.31
2023,Arunachal Pradesh,Rural,NH,Clear,Bus,10018,699,4150,8.97
2010,Bihar,Rural,City,Rainy,Car,17846,1632,8610,9.44
2010,Himachal Pradesh,Rural,SH,Clear,Car,16256,1697,8055,7.71
2019,Himachal Pradesh,Rural,SH,Rainy,Car,4912,444,2102,5.48
2017,Assam,Urban,NH,Rainy,Truck,7498,958,4469,7.44
2024,Uttarakhand,Urban,Rural,Fog,Two-Wheeler,11715,1709,6505,9.17
2013,West Bengal,Rural,Rural,Fog,Truck,4693,360,3650,5.5
2011,Punjab,Rural,SH,Rainy,Two-Wheeler,4114,540,1991,8.87
2010,Odisha,Rural,City,Fog,Truck,14040,719,6257,6.09
2019,Himachal Pradesh,Urban,SH,Clear,Two-Wheeler,14128,1750,8744,5.11
2019,Haryana,Rural,Rural,Rainy,Two-Wheeler,15091,1329,6786,7.89
2011,Karnataka,Urban,NH,Clear,Bus,5898,558,3569,6.61
2015,Goa,Rural,Rural,Clear,Truck,20805,2781,11332,7.21
2011,West Bengal,Urban,Rural,Clear,Car,19935,1170,9581,7.31
2023,Kerala,Rural,Rural,Fog,Truck,23307,2639,18620,6.9
2020,Gujarat,Urban,City,Clear,Two-Wheeler,6342,620,2762,5.34
2012,Haryana,Rural,SH,Fog,Bus,3880,227,1854,9.39
2013,Maharashtra,Rural,City,Clear,Bus,19943,1882,13574,8.03
2020,Bihar,Rural,City,Clear,Bus,1717,119,820,9.42
2010,Odisha,Rural,SH,Clear,Car,11491,1184,5992,8.53
2015,Tamil Nadu,Urban,SH,Rainy,Car,19531,2867,11888,5.11
2023,Haryana,Urban,Rural,Rainy,Truck,4739,517,3141,6.58
2024,Jharkhand,Urban,City,Fog,Truck,4008,222,2953,5.97
2024,Karnataka,Urban,SH,Fog,Car,20856,1484,11477,7.8
2013,Kerala,Rural,City,Fog,Bus,9155,920,4126,6.44
2011,Maharashtra,Urban,Rural,Rainy,Bus,19651,1502,12660,7.22
2017,Tamil Nadu,Rural,City,Clear,Two-Wheeler,2940,290,1537,8.88
2012,Karnataka,Urban,NH,Rainy,Two-Wheeler,15353,977,11195,8.6
2023,West Bengal,Urban,Rural,Fog,Car,15939,2208,7825,6.46
2021,Telangana,Urban,City,Fog,Bus,21236,3017,15349,6.75
2024,Haryana,Urban,SH,Fog,Bus,23553,1646,16229,8.6
2013,Punjab,Urban,Rural,Rainy,Truck,8189,1178,5765,8.44
2012,Rajasthan,Urban,City,Rainy,Two-Wheeler,7556,854,5373,6.13
2018,Goa,Urban,NH,Clear,Truck,8496,1037,6209,5.79
2023,West Bengal,Rural,City,Fog,Two-Wheeler,1364,89,619,6.88
2013,Andhra Pradesh,Urban,City,Rainy,Truck,15579,1594,10773,5.53
2018,Uttar Pradesh,Rural,NH,Clear,Two-Wheeler,20126,1429,12180,6.83
2020,Telangana,Urban,Rural,Fog,Truck,21131,2074,13219,7.05
2019,Uttar Pradesh,Urban,City,Rainy,Car,6552,829,4593,6.47
2012,Jharkhand,Urban,SH,Fog,Car,7629,438,5223,7.84
2020,Arunachal Pradesh,Urban,NH,Rainy,Bus,14409,1498,8234,7.52
2013,Chhattisgarh,Rural,Rural,Fog,Bus,2609,330,1635,6.51
2019,West Bengal,Urban,City,Rainy,Truck,4542,419,3128,7.96
2014,Odisha,Rural,City,Clear,Two-Wheeler,10503,751,4937,7.37
2014,Chhattisgarh,Rural,Rural,Clear,Truck,23234,2608,16213,6.95
2010,Uttarakhand,Urban,NH,Fog,Bus,5501,430,3078,8.8
2016,Delhi,Rural,City,Rainy,Two-Wheeler,11999,1239,7472,5.68
2016,Assam,Urban,City,Rainy,Truck,685,73,281,9.28
2014,Chhattisgarh,Rural,NH,Clear,Truck,21525,1800,16267,7.54
2022,Madhya Pradesh,Urban,Rural,Rainy,Truck,23677,2445,17127,6.58
2022,Tamil Nadu,Rural,City,Clear,Two-Wheeler,10024,829,5441,8.93
2024,Telangana,Urban,SH,Clear,Two-Wheeler,20516,1064,12273,9.45
2013,Telangana,Urban,SH,Rainy,Bus,1420,114,711,7.73
2011,Kerala,Rural,Rural,Fog,Bus,4304,297,2212,7.86
2011,Delhi,Rural,SH,Rainy,Bus,17545,996,11540,8.24
2022,Chhattisgarh,Urban,City,Rainy,Truck,22557,1830,12172,6.68
2011,Himachal Pradesh,Rural,NH,Rainy,Bus,22617,2672,9612,8.91
2016,Bihar,Rural,Rural,Rainy,Bus,13973,2033,7249,8.62
2023,Assam,Rural,SH,Fog,Truck,15258,852,7797,6.79
2024,Karnataka,Rural,Rural,Clear,Truck,6644,840,3069,5.53
2010,Goa,Urban,NH,Rainy,Car,6883,941,4423,5.97
2018,Madhya Pradesh,Urban,SH,Clear,Bus,14532,1669,10314,7.42
2011,Himachal Pradesh,Urban,City,Clear,Truck,7616,1076,4206,7.11
2011,Arunachal Pradesh,Rural,City,Fog,Bus,10046,1034,4826,7.56
2022,Haryana,Rural,SH,Fog,Car,9127,749,4702,7.59
2019,Telangana,Rural,City,Rainy,Car,3526,499,1487,7.18
2017,Punjab,Rural,SH,Rainy,Bus,951,134,502,8.23
2014,Madhya Pradesh,Urban,NH,Rainy,Two-Wheeler,15975,1610,6462,8.11
2024,Chhattisgarh,Rural,SH,Clear,Truck,14168,1747,9580,7.61
2022,West Bengal,Rural,SH,Rainy,Truck,24976,3048,14332,7.38
2020,Telangana,Urban,City,Rainy,Bus,17310,1172,8250,8.92
2014,Goa,Rural,Rural,Clear,Car,16202,1187,8732,9.36
2023,Karnataka,Urban,Rural,Rainy,Car,16590,1892,7958,5.7
2024,Gujarat,Rural,City,Clear,Bus,9983,845,7269,6.85
2022,Assam,Rural,Rural,Rainy,Truck,563,55,344,7.34
2023,Himachal Pradesh,Rural,City,Clear,Truck,7100,414,4794,5.21
2012,Chhattisgarh,Rural,City,Clear,Car,15859,2247,11992,5.12
2014,Gujarat,Rural,Rural,Clear,Car,20103,1090,12732,7.89
2018,Arunachal Pradesh,Urban,Rural,Rainy,Bus,4426,469,2124,8.22
2022,Rajasthan,Rural,NH,Fog,Two-Wheeler,15588,2186,9892,6.03
2017,Assam,Urban,NH,Rainy,Bus,10320,1317,7618,5.2
2011,Telangana,Rural,SH,Fog,Truck,871,58,610,6.7
2022,Tamil Nadu,Rural,NH,Clear,Bus,16283,2059,8684,8.9
2020,Jharkhand,Urban,SH,Clear,Bus,18405,1021,13884,6.26
2019,Andhra Pradesh,Urban,NH,Rainy,Two-Wheeler,10328,1373,5034,8.85
2018,Andhra Pradesh,Urban,Rural,Clear,Bus,5260,512,3724,8.33
2015,Maharashtra,Urban,Rural,Fog,Two-Wheeler,20026,2948,13024,9.28
2018,Chhattisgarh,Urban,NH,Rainy,Bus,5430,397,3314,9.41
2023,Chhattisgarh,Urban,NH,Rainy,Truck,21562,1166,11965,5.55
2021,Arunachal Pradesh,Urban,City,Rainy,Two-Wheeler,17211,1039,8964,8.72
2014,Uttar Pradesh,Urban,NH,Fog,Bus,5987,677,2649,7.18
2021,Uttarakhand,Urban,Rural,Fog,Two-Wheeler,16250,1649,9581,8.21
2020,Gujarat,Urban,Rural,Fog,Car,24195,1541,12864,6.68
2021,Punjab,Rural,SH,Rainy,Car,11559,932,7059,5.48
2018,Maharashtra,Rural,City,Clear,Bus,10645,1218,5823,5.9
2016,Assam,Rural,SH,Fog,Two-Wheeler,14963,778,8299,5.76
2010,Rajasthan,Rural,NH,Clear,Truck,12236,709,6392,6.01
2023,Assam,Urban,Rural,Rainy,Bus,13619,1767,5846,5.23
2011,West Bengal,Rural,City,Clear,Truck,7829,1137,4341,6.08
2017,Goa,Urban,Rural,Clear,Car,24576,3237,11359,8.86
2018,Maharashtra,Rural,NH,Fog,Truck,23937,1422,16240,7.09
2017,Telangana,Urban,NH,Fog,Two-Wheeler,12022,803,7671,6.01
2014,Gujarat,Urban,Rural,Clear,Bus,24594,2245,11494,6.54
2011,Andhra Pradesh,Rural,SH,Rainy,Truck,4181,455,2201,5.16
2015,Delhi,Rural,SH,Fog,Two-Wheeler,22447,3194,16641,7.07
2016,Karnataka,Rural,SH,Clear,Two-Wheeler,23200,2056,16417,8.2
2023,Gujarat,Urban,SH,Clear,Two-Wheeler,1595,159,977,7.43
2017,Himachal Pradesh,Urban,SH,Clear,Car,17302,1173,9913,6.06
2017,Arunachal Pradesh,Urban,SH,Rainy,Two-Wheeler,9447,1345,4373,7.94
2013,Odisha,Rural,Rural,Clear,Bus,16118,1800,11505,7.99
2024,Jharkhand,Rural,City,Rainy,Bus,1158,86,838,7.63
2019,Odisha,Urban,City,Rainy,Car,15163,1250,12075,5.53
